Time [s],crank,cam,Channel 2
9.739483500,1,1,0
9.745880000,0,1,0
9.752073500,0,0,0
9.756618000,1,0,0
9.763667000,1,0,1
9.783939000,0,0,1
9.790252000,0,1,1
9.795745000,1,1,1
9.817512000,1,0,1
9.818351000,0,0,1
9.822596000,1,0,1
9.825709000,0,0,1
9.827939000,0,1,1
9.831859500,1,1,1
9.838296000,0,1,1
9.844800500,1,1,1
9.855807000,0,1,1
9.862856000,1,1,1
9.875042500,0,1,1
9.883152500,1,1,1
9.896678500,1,1,0
9.907988500,0,1,0
9.919744500,1,1,0
9.931624500,0,1,0
9.933860000,0,1,1
9.958177000,1,1,1
9.966454500,0,1,1
9.984399500,1,1,1
9.993006500,0,1,1
10.016319000,1,1,1
10.030440500,0,1,1
10.056272000,1,1,1
10.073926000,0,1,1
10.088747500,1,1,1
10.119715000,0,1,1
10.132774500,1,1,1
10.196888500,0,1,1
10.279558500,1,1,1
10.307759500,0,1,1
11.775254000,1,1,1
11.795228500,0,1,1
11.816643000,1,1,1
11.862781500,0,1,1
11.877579000,1,1,1
11.904911500,1,1,0
11.914990000,0,1,0
11.923886000,0,0,0
11.929246000,1,0,0
11.940649000,1,0,1
11.967266000,0,0,1
11.976024500,0,1,1
11.981482000,1,1,1
12.010128000,0,1,1
12.019428000,1,1,1
12.033621500,0,1,1
12.041374000,1,1,1
12.054677500,0,1,1
12.062635500,1,1,1
12.079001500,0,1,1
12.088827500,1,1,1
12.107071500,1,1,0
12.115756000,0,1,0
12.121675000,0,0,0
12.127618000,1,0,0
12.134181000,1,0,1
12.156178000,0,0,1
12.163194500,0,1,1
12.168463500,1,1,1
12.192915000,0,1,1
12.197490500,1,1,1
12.200819500,0,1,1
12.207309000,1,1,1
12.214361000,0,1,1
12.221115000,1,1,1
12.233439000,0,1,1
12.240873000,1,1,1
12.254794000,0,1,1
12.263567500,1,1,1
12.280088000,1,1,0
12.287181500,0,1,0
12.293129000,0,0,0
12.298015500,1,0,0
12.304936000,1,0,1
12.325564500,0,0,1
12.332152000,0,1,1
12.337400500,1,1,1
12.359974500,0,1,1
12.368517000,1,1,1
12.380605500,0,1,1
12.387859000,1,1,1
12.399151500,0,1,1
12.406485000,1,1,1
12.419961000,0,1,1
12.428525000,1,1,1
12.445441500,1,1,0
12.451753000,0,1,0
12.458145000,0,0,0
12.462462000,1,0,0
12.469814500,1,0,1
12.490004000,0,0,1
12.496324500,0,1,1
12.501804500,1,1,1
12.523359000,1,0,1
12.524204500,0,0,1
12.528421000,1,0,1
12.531528000,0,0,1
12.533785500,0,1,1
12.537658000,1,1,1
12.544107000,0,1,1
12.550593000,1,1,1
12.561701500,0,1,1
12.568766000,1,1,1
12.581129500,0,1,1
12.589319000,1,1,1
12.603212500,1,1,0
12.611469500,0,1,0
12.616564000,0,0,0
12.623274500,1,0,0
12.628714000,1,0,1
12.648927000,0,0,1
12.655472000,0,1,1
12.660700000,1,1,1
12.683078500,0,1,1
12.691496000,1,1,1
12.702666500,0,1,1
12.709711500,1,1,1
12.719819000,0,1,1
12.726820000,1,1,1
12.738363000,0,1,1
12.746105000,1,1,1
12.757112000,1,1,0
12.765236000,0,1,0
12.771836000,0,0,0
12.776182000,1,0,0
12.782569500,1,0,1
12.802079000,0,0,1
12.808329500,0,1,1
12.813391000,1,1,1
12.835303000,0,1,1
12.839539500,1,1,1
12.842684000,0,1,1
12.848871000,1,1,1
12.855452000,0,1,1
12.862009500,1,1,1
12.873397000,0,1,1
12.880538500,1,1,1
