Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
1.830313750000000, 1, 0, 1, 1, 1, 1, 1, 1
1.832005500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832519500000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832519750000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832521000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832521250000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832521500000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832522000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832522250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832522500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832522750000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832523000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832523250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832523500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832523750000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832524000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832524250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832524500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832524750000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832525000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832525250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832525500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832525750000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832526000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832526500000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832526750000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832527500000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832527750000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832528000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832528250000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832528500000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832529000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832529250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832529750000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832530000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832530250000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832530500000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832531000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832531250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832531500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832532000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832532250000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832532500000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832532750000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832533250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832533500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832534000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832534500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832535000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832535250000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832535500000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832536000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832536250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832536750000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832537000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832537500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832537750000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832538250000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832538500000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832539000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832539250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832539750000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832540000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832540250000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832540750000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832541250000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832541500000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832542250000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832542500000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832543250000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832543750000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832544250000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832544750000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832545500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832546000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832546750000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832547250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832548750000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832549000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832552500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832553000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832554750000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832555250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832555500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832556000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832556500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832557000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832558250000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832558500000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832558750000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832559000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832563500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832563750000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832568750000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832569000000000, 0, 1, 1, 1, 1, 1, 1, 1
